Rank,Name,Symbol,Price,Market Cap,Volume(24 Hour),Ciruculating Supply,Main Link,Historical Link,GitHub Link,Tags
163,WAX,WAXP,0.04074,136209901.34,1934672.45,3343754024,https://coinmarketcap.com/currencies/wax/,https://coinmarketcap.com/currencies/wax/historical-data/,https://github.com/worldwide-asset-exchange/,"['Media', 'Collectibles & NFTs', 'Gaming']"
164,SushiSwap,SUSHI,0.5842,134943891.95,15341137.26,231003522,https://coinmarketcap.com/currencies/sushiswap/,https://coinmarketcap.com/currencies/sushiswap/historical-data/,https://github.com/sushiswap/sushiswap,"['Collectibles & NFTs', 'Decentralized Exchange (DEX) Token', 'DeFi']"
165,Axelar,AXL,0.3518,131589746.46,16779805.92,374004719,https://coinmarketcap.com/currencies/axelar/,https://coinmarketcap.com/currencies/axelar/historical-data/,https://github.com/axelarnetwork,"['Interoperability', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio']"
166,IoTeX,IOTX,0.01373,129646454.31,3448326.63,9444989892,https://coinmarketcap.com/currencies/iotex/,https://coinmarketcap.com/currencies/iotex/historical-data/,https://github.com/iotexproject/iotex-core,"['Platform', 'IoT', 'Hashkey Capital Portfolio']"
167,MAGIC,MAGIC,0.5703,127036769.83,21525932.09,222744820,https://coinmarketcap.com/currencies/magic-token/,https://coinmarketcap.com/currencies/magic-token/historical-data/,https://github.com/TreasureProject/,"['Gaming', 'Metaverse', 'Arbitrum Ecosystem']"
168,Merit Circle,MC,0.2942,125100518.6,6498874.03,425228837,https://coinmarketcap.com/currencies/merit-circle/,https://coinmarketcap.com/currencies/merit-circle/historical-data/,No GitHub Link,"['Gaming', 'Binance Launchpool', 'Governance']"
169,TerraClassicUSD,USTC,0.01251,122466503.22,3570494.55,9789430796,https://coinmarketcap.com/currencies/terrausd/,https://coinmarketcap.com/currencies/terrausd/historical-data/,https://github.com/terra-project,"['Cosmos Ecosystem', 'Stablecoin', 'Algorithmic Stablecoin']"
170,Kadena,KDA,0.5041,122625935.14,12043500.87,243250679,https://coinmarketcap.com/currencies/kadena/,https://coinmarketcap.com/currencies/kadena/historical-data/,https://github.com/kadena-io/chainweb-node,"['Mineable', 'PoW', 'Blake2S']"
171,UniBot,UNIBOT,119.14,119139451.35,13371929.55,1000000,https://coinmarketcap.com/currencies/unibot-eth/,https://coinmarketcap.com/currencies/unibot-eth/historical-data/,No GitHub Link,"['Ethereum Ecosystem', 'Telegram Bot']"
172,BORA,BORA,0.1176,116876111.22,1078056.71,993750000,https://coinmarketcap.com/currencies/bora/,https://coinmarketcap.com/currencies/bora/historical-data/,No GitHub Link,"['Marketplace', 'Gaming']"
173,Nervos Network,CKB,0.002721,114178600.51,1195930.34,41962922918,https://coinmarketcap.com/currencies/nervos-network/,https://coinmarketcap.com/currencies/nervos-network/historical-data/,https://github.com/nervosnetwork,"['Mineable', 'PoW', 'Platform']"
174,DigiByte,DGB,0.006809,112051075.54,2133416.20,16457123721,https://coinmarketcap.com/currencies/digibyte/,https://coinmarketcap.com/currencies/digibyte/historical-data/,https://github.com/DigiByte-Core,"['Mineable', 'PoW', 'Multiple algorithms']"
175,Stargate Finance,STG,0.5446,111284549.85,9372284.74,204338417,https://coinmarketcap.com/currencies/stargate-finance/,https://coinmarketcap.com/currencies/stargate-finance/historical-data/,No GitHub Link,"['Ethereum Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem']"
176,DAO Maker,DAO,0.7579,109097574.63,2050386.87,143942531,https://coinmarketcap.com/currencies/dao-maker/,https://coinmarketcap.com/currencies/dao-maker/historical-data/,https://github.com/daomaker,"['DeFi', 'Governance', 'Launchpad']"
177,MobileCoin,MOB,0.5473,106878901.86,855033.54,195286109,https://coinmarketcap.com/currencies/mobilecoin/,https://coinmarketcap.com/currencies/mobilecoin/historical-data/,https://github.com/mobilecoinfoundation/mobilecoin,"['Privacy', 'Payments', 'Arrington XRP Capital Portfolio']"
178,Ribbon Finance,RBN,0.1941,104229874.78,435345.29,537049175,https://coinmarketcap.com/currencies/ribbon-finance/,https://coinmarketcap.com/currencies/ribbon-finance/historical-data/,https://github.com/ribbon-finance,"['Derivatives', 'Coinbase Ventures Portfolio', 'Real World Assets']"
179,Core,CORE,0.6673,103622716.9,4883820.52,155286272,https://coinmarketcap.com/currencies/core-dao/,https://coinmarketcap.com/currencies/core-dao/historical-data/,No GitHub Link,[]
180,SKALE,SKL,0.02214,103487619.04,5535973.77,4673852671,https://coinmarketcap.com/currencies/skale-network/,https://coinmarketcap.com/currencies/skale-network/historical-data/,https://github.com/skalenetwork,"['Platform', 'Scaling', 'Smart Contracts']"
181,Flux,FLUX,0.3227,102255066.05,12542901.39,316888369,https://coinmarketcap.com/currencies/zel/,https://coinmarketcap.com/currencies/zel/historical-data/,https://github.com/runonflux,"['Mineable', 'PoW', 'Distributed Computing']"
182,UMA,UMA,1.373,100999215.75,4397352.64,73560634,https://coinmarketcap.com/currencies/uma/,https://coinmarketcap.com/currencies/uma/historical-data/,https://github.com/UMAprotocol,"['DeFi', 'Derivatives', 'Oracles']"
183,Horizen,ZEN,7.124,100103068.04,4518427.98,14051619,https://coinmarketcap.com/currencies/horizen/,https://coinmarketcap.com/currencies/horizen/historical-data/,https://github.com/HorizenOfficial,"['Mineable', 'PoW', 'Medium of Exchange']"
184,Galxe,GAL,1.1478,97438508.25,11389253.20,84890333,https://coinmarketcap.com/currencies/galxe/,https://coinmarketcap.com/currencies/galxe/historical-data/,No GitHub Link,"['Binance Launchpool', 'MVB', 'Spartan Group']"
185,Reserve Rights,RSR,0.001899,96087678.25,2934968.45,50600000000,https://coinmarketcap.com/currencies/reserve-rights/,https://coinmarketcap.com/currencies/reserve-rights/historical-data/,https://github.com/reserve-protocol,"['Store Of Value', 'DeFi', 'Coinbase Ventures Portfolio']"
186,TomoChain,TOMO,1.0169,98470191.43,52610535.22,96830754,https://coinmarketcap.com/currencies/tomochain/,https://coinmarketcap.com/currencies/tomochain/historical-data/,https://github.com/tomochain/,"['Platform', 'Alameda Research Portfolio', 'Injective Ecosystem']"
187,Everscale,EVER,0.05244,94519051.53,2537487.22,1802521252,https://coinmarketcap.com/currencies/everscale/,https://coinmarketcap.com/currencies/everscale/historical-data/,https://github.com/tonlabs/ever-sdk,['Everscale Ecosystem']
